objectid,filename,title,creator,date,genre,subject,location,form,format,relation,rights 
ware026,ware_026.jpg,OLEUM #1,ACT CREW; TF; ASHOL; RUFIE,2022-09-29,graffiti art ,Dortmund ,left/center ,"This piece is legible with five colors present, a fade effect in the lettering as well as shines in the lettering, hard outlines, and a relief effect. This piece has been defaced slightly along the lower border. ",image/jpeg,,"The items in this collection fall under a Creative Commons License. Educational use, including non-commercial use of text and images for research and teaching purposes, is permitted. All rights to the designs represented in this collection rest with the artists and any form of reuse or reproduction is not permitted under any circumstances. "
ware027,ware_027.jpg,BRISK #7,BRISK ,2022-10-01,graffiti tag ,No-neg,right/right,"This piece has mininal negative space,is only two colors, has standard overlap, and is 2-dimensional with 3-d effect. ",image/jpeg,,"The items in this collection fall under a Creative Commons License. Educational use, including non-commercial use of text and images for research and teaching purposes, is permitted. All rights to the designs represented in this collection rest with the artists and any form of reuse or reproduction is not permitted under any circumstances. "
ware028,ware_028.jpg,SMOR #1,SMOR ,2022-10-01,graffiti tag ,No-neg ,right/right ,"This piece is comprised of only curved lines, has minimal negative space,two colors, is 2-dimensional. ",image/jpeg,,"The items in this collection fall under a Creative Commons License. Educational use, including non-commercial use of text and images for research and teaching purposes, is permitted. All rights to the designs represented in this collection rest with the artists and any form of reuse or reproduction is not permitted under any circumstances. "
ware029,ware_029.jpg,BRISK #8,BRISK,2022-10-01,graffiti tag ,No-neg ,right/right ,"This piece has mininal negative space,is only two colors, has standard overlap, and is 2-dimensional with hard outlines. ",image/jpeg,,"The items in this collection fall under a Creative Commons License. Educational use, including non-commercial use of text and images for research and teaching purposes, is permitted. All rights to the designs represented in this collection rest with the artists and any form of reuse or reproduction is not permitted under any circumstances. "
ware030,ware_030.jpg,BRISK #9,BRISK,2022-10-01,graffiti art ,Abstract,right/right ,This piece has more than five colors visible with straight and curved abstract letters. It is legible with inconsistent fill and inconsisten letter form. There is a chain design snaking through the letters. ,image/jpeg,,"The items in this collection fall under a Creative Commons License. Educational use, including non-commercial use of text and images for research and teaching purposes, is permitted. All rights to the designs represented in this collection rest with the artists and any form of reuse or reproduction is not permitted under any circumstances. "
ware031,ware_031.jpg,CILHAOS #1,Cilhaos; @cilhaos,2022-10-01,urban art ,,right/top,This piece is partially obscured by the piece below. Itis an abstract piece with purple andblue designs. ,image/jpeg,,"The items in this collection fall under a Creative Commons License. Educational use, including non-commercial use of text and images for research and teaching purposes, is permitted. All rights to the designs represented in this collection rest with the artists and any form of reuse or reproduction is not permitted under any circumstances. "
ware032,ware_032.jpg,MORON #1,"ACT CREW; AJ, Ral, Vee",2022-10-01,graffiti art ,CTK ,right/center,"This piece is legible with a symmetrical style and is 2-dimensional with 3-d effects.The piece is using non integral arrows, hard outlines, and shines with a fade effect fill as well as fill shapes. ",image/jpeg,,"The items in this collection fall under a Creative Commons License. Educational use, including non-commercial use of text and images for research and teaching purposes, is permitted. All rights to the designs represented in this collection rest with the artists and any form of reuse or reproduction is not permitted under any circumstances. "
ware033,ware_033.jpg,Y2K #1,Y2K ,2022-10-01,graffiiti ,TFP ,right/center,This piece is partially legible with interlocking curved letters and fill shapes. ,image/jpeg,,"The items in this collection fall under a Creative Commons License. Educational use, including non-commercial use of text and images for research and teaching purposes, is permitted. All rights to the designs represented in this collection rest with the artists and any form of reuse or reproduction is not permitted under any circumstances. "
ware034,ware_034.jpg,SHOES#1,Shoes ,2022; 2022-10-01,graffiti art ,TFP ,right/center ,"This piece is partially legible with curved and straight linerarity, consistent letter strokes, intertwined letters, hard outlines with interrupted outline accents, and fade effect inside the letters. ",image/jpeg,,"The items in this collection fall under a Creative Commons License. Educational use, including non-commercial use of text and images for research and teaching purposes, is permitted. All rights to the designs represented in this collection rest with the artists and any form of reuse or reproduction is not permitted under any circumstances. "
ware035,ware_035.jpg,HENDU#1,,2022-10-01,graffiti art ,Dimensional ,right/center ,This piece is legible with dimensional effects. There are interrupted outlines on the insideof the letters and the letters have a slight fade effect. This piece has been written over. ,image/jpeg,,"The items in this collection fall under a Creative Commons License. Educational use, including non-commercial use of text and images for research and teaching purposes, is permitted. All rights to the designs represented in this collection rest with the artists and any form of reuse or reproduction is not permitted under any circumstances. "
ware036,ware_036.jpg,STOCK#1,,2022-10-01,graffiti art ,Dimensional ,right/left ,This piece is legible with dimensional effects. There are interrupted outlines on the insideof the letters and the letters have a noticable fade effect. This piece has been written over. The stars and rust coloring were not a part of the original piece. ,image/jpeg,,"The items in this collection fall under a Creative Commons License. Educational use, including non-commercial use of text and images for research and teaching purposes, is permitted. All rights to the designs represented in this collection rest with the artists and any form of reuse or reproduction is not permitted under any circumstances. "
ware037,ware_037.jpg,VIKTR#1,,2022-10-01,graffiti art ,Dimensional ,right/left ,"This piece is legible with a relief effect, hard outlines, abd a dimensional effect. ",image/jpeg,,"The items in this collection fall under a Creative Commons License. Educational use, including non-commercial use of text and images for research and teaching purposes, is permitted. All rights to the designs represented in this collection rest with the artists and any form of reuse or reproduction is not permitted under any circumstances. "
ware038,ware_038.jpg,KAVIS#1,,2022-10-01,graffiti art ,unknown ,right/left ,This piece is legible with two colors present.The letters have a relief effect outline ,image/jpeg,,"The items in this collection fall under a Creative Commons License. Educational use, including non-commercial use of text and images for research and teaching purposes, is permitted. All rights to the designs represented in this collection rest with the artists and any form of reuse or reproduction is not permitted under any circumstances. "
ware039,ware_039.jpg,25 YEARS OF ACT CREW#5,ACT CREW: Rel,2022-10-01,graffiti art ,TFP ,right/left ,"This piece is partially legible with relief effect dimensionality, standard negative space, fades, and fill shapes. Below thepiece reads""...the Good Samaritan...",image/jpeg,,"The items in this collection fall under a Creative Commons License. Educational use, including non-commercial use of text and images for research and teaching purposes, is permitted. All rights to the designs represented in this collection rest with the artists and any form of reuse or reproduction is not permitted under any circumstances. "
ware040,ware_040.jpg,SINNER#1,Dazed/Sinner,2022-10-01,graffiti art ,Neo Classic American Freight ,right/left ,This piece is legible with curved letters that are 2-dimensional with a 3-d effect. The letters have a shape fill and shines. ,image/jpeg,,"The items in this collection fall under a Creative Commons License. Educational use, including non-commercial use of text and images for research and teaching purposes, is permitted. All rights to the designs represented in this collection rest with the artists and any form of reuse or reproduction is not permitted under any circumstances. "
ware041,ware_041.jpg,BRISK#10,,2022-10-01,graffiti art ,Abstract,back/right ,"This piece is partially legible with inconsistent letter strokes, no outline, and a symmetrical design. ",image/jpeg,,"The items in this collection fall under a Creative Commons License. Educational use, including non-commercial use of text and images for research and teaching purposes, is permitted. All rights to the designs represented in this collection rest with the artists and any form of reuse or reproduction is not permitted under any circumstances. "
ware042,ware_042.jpg,HAUTE#1,,2022-10-01,graffiti art ,Dimensional ,back/right ,"This piece is legible with minimal overlap, a dimensional effect and a fade within the lettering. ",image/jpeg,,"The items in this collection fall under a Creative Commons License. Educational use, including non-commercial use of text and images for research and teaching purposes, is permitted. All rights to the designs represented in this collection rest with the artists and any form of reuse or reproduction is not permitted under any circumstances. "
ware043,ware_043.jpg,WIRE#1,,2022-10-01,graffiti art ,CTK ,back/right ,"This piece is legible with intertwined lettering, a relief effect, and non intergral arrows. ",image/jpeg,,"The items in this collection fall under a Creative Commons License. Educational use, including non-commercial use of text and images for research and teaching purposes, is permitted. All rights to the designs represented in this collection rest with the artists and any form of reuse or reproduction is not permitted under any circumstances. "
ware044,ware_044.jpg,DANNY DENINE FOREVER,,2022-10-01,graffiti art ,Semi-wild ,back/center ,,image/jpeg,,"The items in this collection fall under a Creative Commons License. Educational use, including non-commercial use of text and images for research and teaching purposes, is permitted. All rights to the designs represented in this collection rest with the artists and any form of reuse or reproduction is not permitted under any circumstances. "
ware045,ware_045.jpg,HAUTE#2,,2022-10-01,graffiti art ,Semi-wild ,back/center ,,image/jpeg,,"The items in this collection fall under a Creative Commons License. Educational use, including non-commercial use of text and images for research and teaching purposes, is permitted. All rights to the designs represented in this collection rest with the artists and any form of reuse or reproduction is not permitted under any circumstances. "
ware046,ware_046.jpg,SHOES#1,,2022-10-01,graffiti art ,TFP ,back/left ,,image/jpeg,,"The items in this collection fall under a Creative Commons License. Educational use, including non-commercial use of text and images for research and teaching purposes, is permitted. All rights to the designs represented in this collection rest with the artists and any form of reuse or reproduction is not permitted under any circumstances. "
ware047,ware_047.jpg,WIRE#2,,2022-10-01,graffiti art ,CTK ,back/left ,,image/jpeg,,"The items in this collection fall under a Creative Commons License. Educational use, including non-commercial use of text and images for research and teaching purposes, is permitted. All rights to the designs represented in this collection rest with the artists and any form of reuse or reproduction is not permitted under any circumstances. "
ware048,ware_048.jpg,BURNINGTON#1,,2022-10-01,graffiti art ,Dimensional ,left/right ,,image/jpeg,,"The items in this collection fall under a Creative Commons License. Educational use, including non-commercial use of text and images for research and teaching purposes, is permitted. All rights to the designs represented in this collection rest with the artists and any form of reuse or reproduction is not permitted under any circumstances. "
ware049,ware_049.jpg,unknown ,,2022-10-01,graffiti art ,CTK ,left/right ,,image/jpeg,,"The items in this collection fall under a Creative Commons License. Educational use, including non-commercial use of text and images for research and teaching purposes, is permitted. All rights to the designs represented in this collection rest with the artists and any form of reuse or reproduction is not permitted under any circumstances. "
